Protein.IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1K-1	Peptides 1K-2	Peptides 1NM-1	Peptides 1NM-2	Peptides 2K-1	Peptides 2K-2	Peptides 2NM-1	Peptides 2NM-2	Peptides 3K-1	Peptides 3K-2	Peptides 3NM-1	Peptides 3NM-2	Peptides 4K-1	Peptides 4K-2	Peptides 4NM-1	Peptides 4NM-2	Razor + unique peptides 1K-1	Razor + unique peptides 1K-2	Razor + unique peptides 1NM-1	Razor + unique peptides 1NM-2	Razor + unique peptides 2K-1	Razor + unique peptides 2K-2	Razor + unique peptides 2NM-1	Razor + unique peptides 2NM-2	Razor + unique peptides 3K-1	Razor + unique peptides 3K-2	Razor + unique peptides 3NM-1	Razor + unique peptides 3NM-2	Razor + unique peptides 4K-1	Razor + unique peptides 4K-2	Razor + unique peptides 4NM-1	Razor + unique peptides 4NM-2	Unique peptides 1K-1	Unique peptides 1K-2	Unique peptides 1NM-1	Unique peptides 1NM-2	Unique peptides 2K-1	Unique peptides 2K-2	Unique peptides 2NM-1	Unique peptides 2NM-2	Unique peptides 3K-1	Unique peptides 3K-2	Unique peptides 3NM-1	Unique peptides 3NM-2	Unique peptides 4K-1	Unique peptides 4K-2	Unique peptides 4NM-1	Unique peptides 4NM-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 1K-1	Identification type 1K-2	Identification type 1NM-1	Identification type 1NM-2	Identification type 2K-1	Identification type 2K-2	Identification type 2NM-1	Identification type 2NM-2	Identification type 3K-1	Identification type 3K-2	Identification type 3NM-1	Identification type 3NM-2	Identification type 4K-1	Identification type 4K-2	Identification type 4NM-1	Identification type 4NM-2	Sequence coverage 1K-1 [%]	Sequence coverage 1K-2 [%]	Sequence coverage 1NM-1 [%]	Sequence coverage 1NM-2 [%]	Sequence coverage 2K-1 [%]	Sequence coverage 2K-2 [%]	Sequence coverage 2NM-1 [%]	Sequence coverage 2NM-2 [%]	Sequence coverage 3K-1 [%]	Sequence coverage 3K-2 [%]	Sequence coverage 3NM-1 [%]	Sequence coverage 3NM-2 [%]	Sequence coverage 4K-1 [%]	Sequence coverage 4K-2 [%]	Sequence coverage 4NM-1 [%]	Sequence coverage 4NM-2 [%]	Intensity	Intensity 1K-1	Intensity 1K-2	Intensity 1NM-1	Intensity 1NM-2	Intensity 2K-1	Intensity 2K-2	Intensity 2NM-1	Intensity 2NM-2	Intensity 3K-1	Intensity 3K-2	Intensity 3NM-1	Intensity 3NM-2	Intensity 4K-1	Intensity 4K-2	Intensity 4NM-1	Intensity 4NM-2	LFQ intensity 1K-1	LFQ intensity 1K-2	LFQ intensity 1NM-1	LFQ intensity 1NM-2	LFQ intensity 2K-1	LFQ intensity 2K-2	LFQ intensity 2NM-1	LFQ intensity 2NM-2	LFQ intensity 3K-1	LFQ intensity 3K-2	LFQ intensity 3NM-1	LFQ intensity 3NM-2	LFQ intensity 4K-1	LFQ intensity 4K-2	LFQ intensity 4NM-1	LFQ intensity 4NM-2	MS/MS Count 1K-1	MS/MS Count 1K-2	MS/MS Count 1NM-1	MS/MS Count 1NM-2	MS/MS Count 2K-1	MS/MS Count 2K-2	MS/MS Count 2NM-1	MS/MS Count 2NM-2	MS/MS Count 3K-1	MS/MS Count 3K-2	MS/MS Count 3NM-1	MS/MS Count 3NM-2	MS/MS Count 4K-1	MS/MS Count 4K-2	MS/MS Count 4NM-1	MS/MS Count 4NM-2	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q7T370|CDV3_DANRE	sp|Q7T370|CDV3_DANRE	2	2	2		1	2	2	2	0	0	1	0	1	1	0	1	0	1	1	2	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	2	1	0	1	1	0	0	1	0	1	1	0	1	0	1	1	2	1	0	1	1	16.5	16.5	16.5	26.229	236	236	0	26.724	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	0	0	10.2	0	10.2	10.2	0	6.4	0	6.4	6.4	16.5	10.2	0	10.2	10.2	1248400	0	0	197800	0	174050	68165	0	45874	0	67460	51240	205290	94995	0	158570	184920	0	0	0	0	0	0	0	0	0	0	0	205940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1				493	637;1357	True;True	651;1376	8364;8365;8366;8367;18483;18484;18485;18486;18487;18488;18489	6385;14946;14947	6385;14946		
sp|Q7T385|VTC1A_DANRE	sp|Q7T385|VTC1A_DANRE	21	21	19		1	21	21	19	14	14	12	11	14	20	13	13	19	15	15	14	15	16	16	11	14	14	12	11	14	20	13	13	19	15	15	14	15	16	16	11	12	12	10	9	12	18	11	11	17	13	13	13	14	15	14	10	56.4	56.4	48	44.314	383	383	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	43.3	42	41.3	38.4	45.7	52.7	43.9	37.6	50.7	46.5	42	39.2	46.7	48	48.6	33.4	214360000	13604000	15756000	5984700	13319000	17453000	21296000	12993000	10826000	17960000	17110000	9371700	8738400	11249000	16748000	12593000	9362300	14960000	13516000	11713000	17657000	16646000	13833000	15750000	12796000	11904000	12037000	8435600	10979000	13448000	13111000	12930000	16456000	14	11	8	12	15	17	9	8	13	12	11	9	14	17	12	5	187				494	307;308;336;681;781;1059;1125;1411;1412;1468;2214;2410;2610;2634;2635;2636;2696;2706;2808;2830;2996	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	312;313;341;695;796;1075;1143;1432;1433;1491;2248;2445;2649;2675;2676;2677;2737;2747;2851;2873;3042	4092;4093;4094;4095;4096;4097;4098;4099;4100;4101;4102;4103;4104;4105;4106;4107;4108;4109;4110;4111;4112;4113;4114;4115;4116;4117;4118;4119;4120;4121;4122;4123;4124;4125;4126;4127;4128;4129;4130;4131;4132;4133;4134;4474;4475;4476;4477;4478;4479;4480;4481;4482;4483;4484;4485;4486;4487;4488;4489;4490;4491;4492;4493;4494;4495;8952;8953;8954;10253;10254;10255;10256;10257;14043;14044;14045;14046;14047;14048;14049;14050;14051;14052;14053;14054;14055;14056;14057;14058;14059;14060;14061;14062;14063;14064;14065;14066;14067;15151;15152;15153;15154;15155;15156;15157;15158;15159;15160;15161;15162;15163;15164;19270;19271;19272;19273;19274;19275;19276;20046;20047;20048;20049;20050;20051;20052;20053;20054;20055;29433;29434;29435;29436;29437;29438;29439;29440;29441;29442;29443;29444;29445;29446;31772;31773;31774;31775;31776;31777;31778;31779;31780;31781;31782;31783;31784;31785;31786;31787;34589;34590;34591;34592;34593;34594;34595;34596;34597;34598;34969;34970;34971;34972;34973;34974;34975;34976;34977;34978;34979;34980;34981;34982;34983;34984;34985;34986;34987;34988;34989;34990;34991;34992;34993;34994;34995;34996;34997;34998;34999;35000;35001;35002;35003;35004;35005;35006;35007;35008;35009;35010;35761;35762;35763;35764;35765;35766;35767;35768;35769;35770;35771;35871;35872;35873;35874;35875;35876;35877;35878;35879;35880;35881;35882;35883;35884;35885;35886;35887;35888;35889;35890;37195;37196;37506;37507;37508;37509;37510;37511;37512;37513;37514;37515;37516;37517;37518;37519;37520;37521;37522;37523;37524;37525;37526;37527;37528;37529;37530;37531;37532;37533;37534;37535;40731;40732;40733;40734;40735;40736;40737;40738;40739;40740;40741;40742;40743;40744	3158;3159;3160;3161;3162;3163;3164;3165;3166;3167;3168;3169;3170;3171;3172;3173;3174;3175;3176;3177;3178;3179;3180;3181;3182;3426;3427;3428;3429;3430;3431;3432;3433;3434;3435;3436;3437;3438;3439;3440;3441;3442;3443;3444;3445;3446;6856;7936;11438;11439;11440;11441;11442;11443;11444;11445;11446;11447;11448;11449;11450;11451;11452;11453;11454;11455;11456;11457;11458;11459;12318;12319;12320;12321;12322;12323;12324;12325;15423;15424;15953;15954;15955;15956;15957;15958;15959;15960;15961;22701;24378;24379;24380;24381;24382;24383;24384;24385;24386;24387;26550;26551;26552;26553;26554;26555;26556;26981;26982;26983;26984;26985;26986;26987;26988;26989;26990;26991;26992;26993;26994;26995;26996;26997;26998;26999;27000;27001;27002;27003;27004;27005;27006;27007;27554;27555;27627;27628;27629;27630;27631;27632;27633;27634;27635;27636;27637;27638;27639;27640;27641;27642;27643;27644;27645;27646;27647;27648;27649;27650;27651;27652;27653;27654;27655;27656;27657;27658;27659;27660;27661;27662;27663;27664;27665;27666;28474;28475;28722;28723;28724;28725;28726;28727;28728;28729;28730;28731;28732;28733;28734;28735;28736;28737;28738;28739;28740;28741;28742;28743;28744;32533;32534;32535;32536;32537;32538;32539	3162;3171;3429;6856;7936;11444;12320;15423;15424;15959;22701;24382;26555;26994;26997;27006;27555;27665;28474;28722;32535		
sp|Q7T394|LIS1A_DANRE	sp|Q7T394|LIS1A_DANRE	11	5	5		1	11	5	5	7	8	7	5	6	7	6	5	7	8	7	6	7	7	6	8	4	5	4	3	4	5	3	3	4	5	4	4	4	5	4	5	4	5	4	3	4	5	3	3	4	5	4	4	4	5	4	5	37.6	16.8	16.8	46.512	410	410	0	301.12	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.1	28.8	24.4	21	22.4	23.7	23.2	22	25.1	26.3	28.8	24.9	28.8	25.9	24.9	28.8	26911000	1260900	1670600	1202800	989060	2161400	2493500	924040	1149000	2118100	2466800	1506100	1640900	1999700	1988700	1843000	1496300	1207600	1432000	1456100	1556300	1998600	2089300	1501000	1350300	2037000	1913100	1765100	1613300	1960400	1904100	1806300	1576800	3	2	1	0	5	9	0	1	6	7	5	3	5	5	3	2	57				495	493;689;894;1620;1696;1871;1974;1979;2444;2525;2534	True;False;True;False;True;False;True;False;True;False;False	505;703;909;1645;1721;1896;2005;2011;2479;2561;2571	6386;6387;6388;6389;6390;6391;6392;6393;6394;6395;6396;6397;6398;6399;9061;9062;9063;11799;11800;11801;11802;11803;11804;11805;11806;11807;11808;11809;11810;11811;11812;11813;11814;11815;11816;11817;11818;11819;11820;11821;11822;22161;22162;22163;22164;22165;22166;22167;22168;22169;22170;22171;22172;22173;22174;22175;23006;23007;23008;23009;23010;23011;23012;25154;26469;26470;26471;26472;26473;26474;26475;26476;26477;26478;26479;26480;26481;26482;26483;26484;26553;26554;26555;26556;26557;32262;32263;32264;32265;32266;32267;32268;32269;32270;32271;32272;32273;32274;32275;32276;32277;33364;33365;33366;33367;33368;33515;33516;33517;33518;33519;33520;33521;33522;33523;33524;33525;33526;33527;33528;33529;33530;33531;33532;33533;33534;33535;33536;33537	4942;4943;4944;4945;4946;4947;4948;6919;6920;6921;9668;9669;9670;9671;9672;9673;9674;9675;9676;9677;9678;9679;9680;9681;9682;9683;9684;9685;9686;9687;9688;17618;17619;17620;17621;17622;17623;17624;17625;18097;18098;18099;19568;20520;20521;20522;20523;20524;20525;20526;20527;20528;20529;20530;20531;20532;20533;20534;20535;20536;20537;20582;20583;24850;24851;24852;24853;24854;24855;24856;24857;24858;24859;24860;24861;24862;24863;24864;24865;25623;25767;25768;25769;25770;25771;25772;25773;25774;25775;25776;25777;25778;25779;25780;25781;25782;25783	4946;6919;9673;17620;18098;19568;20521;20582;24859;25623;25774		
sp|Q7T3A4|RAB13_DANRE	sp|Q7T3A4|RAB13_DANRE	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.5	5.5	5.5	22.458	200	200	0.0068027	3.0274	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	55245000	212160	598490	240620	275260	5543400	7699700	345230	110760	7021100	6367100	4842600	4551300	6905200	6064600	2828100	1639500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1169800	1	1	0	0	2	2	0	0	1	2	2	2	2	1	1	1	18				496	1652	TRUE	1677	22513;22514;22515;22516;22517;22518;22519;22520;22521;22522;22523;22524;22525;22526;22527;22528;22529;22530;22531;22532;22533;22534;22535;22536;22537;22538;22539;22540;22541	17827;17828;17829;17830;17831;17832;17833;17834;17835;17836;17837;17838;17839;17840;17841;17842;17843;17844;17845	17831		
sp|Q7T3B0|EIF3M_DANRE	sp|Q7T3B0|EIF3M_DANRE	4	4	4		1	4	4	4	2	1	1	1	1	4	1	1	4	4	2	2	2	3	1	2	2	1	1	1	1	4	1	1	4	4	2	2	2	3	1	2	2	1	1	1	1	4	1	1	4	4	2	2	2	3	1	2	13.3	13.3	13.3	42.699	375	375	0	14.351	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	7.7	4.8	4.5	4.5	4.8	13.3	4.5	4.5	13.3	13.3	5.3	7.7	7.7	8.5	4.5	5.3	8923200	358840	258250	309990	245400	357600	891900	292580	255420	1498100	1493900	606950	442990	440040	859020	294730	317480	0	0	0	0	0	1162200	0	0	1194300	1090500	911600	0	0	1006600	0	0	0	1	0	0	0	1	0	0	2	1	1	0	0	1	0	0	7				497	153;380;1671;1959	True;True;True;True	154;389;1696;1989	2029;2030;2031;2032;2033;2034;2035;2036;5054;5055;5056;5057;5058;5059;5060;5061;5062;5063;5064;5065;5066;5067;5068;5069;5070;5071;5072;5073;5074;22682;22683;22684;22685;22686;22687;22688;26244;26245;26246;26247;26248	1482;1483;1484;3940;3941;3942;3943;3944;17921;20339;20340	1482;3940;17921;20340		
sp|Q7T3C6|CPSF5_DANRE	sp|Q7T3C6|CPSF5_DANRE	4	4	4		1	4	4	4	1	1	1	1	1	1	1	1	1	3	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	3	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	3	1	1	3	3	1	1	24.1	24.1	24.1	26.272	228	228	0	8.7944	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	5.7	5.7	5.7	5.7	3.9	3.9	5.7	5.7	5.7	16.2	5.7	5.7	17.5	16.2	5.7	5.7	8281500	477510	52282	37803	54147	202270	485530	830560	779730	334670	777920	566390	554960	1047900	867210	615730	596900	0	0	0	0	0	0	866780	921610	0	692050	0	700030	0	656880	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	2	0	0	7				498	1524;1726;1731;3012	True;True;True;True	1547;1751;1756;3058	20691;20692;20693;20694;20695;23394;23461;23462;40874;40875;40876;40877;40878;40879;40880;40881;40882;40883;40884;40885;40886;40887;40888;40889;40890;40891;40892;40893;40894;40895	16322;18475;18509;18510;32585;32586;32587;32588	16322;18475;18509;32587		
sp|Q7T3C7|RT4I1_DANRE	sp|Q7T3C7|RT4I1_DANRE	13	13	13		1	13	13	13	6	5	5	5	6	8	6	5	8	9	6	4	6	5	6	6	6	5	5	5	6	8	6	5	8	9	6	4	6	5	6	6	6	5	5	5	6	8	6	5	8	9	6	4	6	5	6	6	52.5	52.5	52.5	42.327	387	387	0	69.643	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.4	21.2	23.3	22.5	25.8	35.7	29.2	23.3	29.7	40.6	24.3	19.4	26.6	21.2	27.4	27.4	18258000	1384900	645000	1101000	1442300	956880	1102600	1396300	1073000	1404100	1346300	1107900	800450	1105900	661000	1095800	1634400	2582100	338290	1733900	998680	784440	1178500	1518400	941360	1070200	1182700	533040	0	1132000	1127800	926150	0	1	1	1	0	1	4	3	1	3	4	1	0	1	3	1	0	25				499	342;379;434;714;827;1033;2128;2228;2602;2709;2763;2930;2945	True;True;True;True;True;True;True;True;True;True;True;True;True	347;388;445;729;842;1049;2162;2262;2641;2750;2805;2975;2990	4575;4576;4577;4578;4579;4580;4581;5044;5045;5046;5047;5048;5049;5050;5051;5052;5053;5729;5730;5731;9330;9331;9332;9333;9334;9335;9336;9337;9338;9339;10973;10974;10975;10976;10977;10978;13742;13743;13744;13745;28495;28496;28497;28498;28499;28500;28501;29553;29554;29555;29556;34479;35920;35921;35922;35923;35924;35925;35926;35927;35928;35929;35930;36686;36687;36688;36689;36690;36691;36692;36693;36694;36695;36696;36697;36698;36699;36700;39844;39845;39846;39847;39848;40005;40006;40007;40008;40009;40010;40011;40012;40013;40014;40015;40016;40017;40018;40019;40020;40021;40022;40023;40024;40025;40026;40027	3516;3517;3936;3937;3938;3939;4377;7177;7178;7179;7180;9076;9077;9078;11205;11206;21981;22724;22725;26440;27686;27687;27688;27689;28184;31806;31807;31808;31809;31932;31933;31934;31935	3516;3936;4377;7178;9076;11206;21981;22724;26440;27686;28184;31808;31933		
sp|Q7T3D0|TP8L3_DANRE	sp|Q7T3D0|TP8L3_DANRE	3	3	3		1	3	3	3	1	0	1	1	2	2	1	0	2	2	0	1	2	3	1	1	1	0	1	1	2	2	1	0	2	2	0	1	2	3	1	1	1	0	1	1	2	2	1	0	2	2	0	1	2	3	1	1	24.3	24.3	24.3	23.2	202	202	0	19.24	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	11.9	0	11.9	11.9	17.3	17.3	11.9	0	18.8	18.8	0	11.9	17.3	24.3	11.9	11.9	2572500	207630	0	105920	235120	259890	413010	212790	0	137240	110470	0	76142	233560	289300	61066	230350	0	0	0	0	257100	267630	0	0	313650	210120	0	0	221600	185800	0	0	0	0	1	1	0	0	0	0	2	1	0	1	2	2	1	0	11				500	348;908;1894	True;True;True	353;924;1920	4650;4651;4652;12150;12151;12152;12153;25355;25356;25357;25358;25359;25360;25361;25362;25363;25364;25365;25366;25367	3573;9962;9963;9964;19695;19696;19697;19698;19699;19700;19701;19702;19703	3573;9962;19699		
sp|Q7T3E8|MFR1L_DANRE	sp|Q7T3E8|MFR1L_DANRE	3	3	3		1	3	3	3	3	3	1	1	2	3	1	3	2	0	2	2	3	1	1	2	3	3	1	1	2	3	1	3	2	0	2	2	3	1	1	2	3	3	1	1	2	3	1	3	2	0	2	2	3	1	1	2	11.3	11.3	11.3	34.899	309	309	0	15.075	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	11.3	11.3	3.9	3.9	8.1	11.3	3.9	11.3	7.1	0	8.1	8.1	11.3	3.2	3.9	7.1	9756600	960950	614380	0	766460	518220	764240	744190	1210700	593650	0	662440	628910	707360	199690	513100	872290	0	0	0	0	0	816970	0	1188000	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	7				501	31;1179;2569	True;True;True	32;1198;2607	465;466;467;468;469;470;471;472;15931;15932;15933;15934;15935;15936;15937;15938;15939;15940;15941;15942;15943;15944;34046;34047;34048;34049;34050;34051;34052;34053	288;12917;12918;12919;12920;12921;12922;12923;12924;26098;26099	288;12917;26099		
sp|Q7T3H1|DCTN2_DANRE	sp|Q7T3H1|DCTN2_DANRE	15	15	15		1	15	15	15	14	12	14	13	12	11	14	15	11	11	12	14	12	11	12	12	14	12	14	13	12	11	14	15	11	11	12	14	12	11	12	12	14	12	14	13	12	11	14	15	11	11	12	14	12	11	12	12	55.1	55.1	55.1	44.624	405	405	0	261.44	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	54.8	37.5	54.8	54.8	47.9	41	54.8	55.1	41	41	41	47.9	43.5	44.4	41	48.1	121970000	9045800	3469700	11752000	11512000	6533100	4923500	13179000	12199000	4381200	4457400	7620300	7779200	5759300	4232800	7227200	7901200	7481300	4921600	10243000	11793000	6716300	5645600	11767000	10658000	4778900	5019900	8453900	7817900	5525800	5496900	8413600	7990200	7	8	9	7	5	6	5	9	7	7	4	9	6	5	4	5	103				502	373;570;611;947;955;1429;1430;1672;1819;1853;2180;2243;2708;2839;2854	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	382;583;624;963;971;1450;1451;1697;1844;1878;2214;2277;2749;2882;2898	4959;4960;4961;4962;4963;4964;4965;4966;4967;4968;4969;7451;7452;7453;7454;7455;7456;7457;7458;7459;7460;7461;7462;8068;8069;8070;8071;8072;8073;8074;8075;8076;8077;8078;8079;8080;8081;8082;8083;8084;8085;8086;8087;8088;8089;8090;12652;12653;12654;12655;12656;12657;12658;12659;12660;12661;12662;12663;12664;12665;12666;12667;12668;12669;12670;12671;12672;12673;12674;12675;12676;12677;12678;12720;12721;12722;12723;12724;12725;12726;12727;12728;12729;12730;12731;12732;12733;12734;12735;12736;12737;12738;12739;12740;12741;12742;12743;12744;12745;12746;12747;12748;12749;19490;19491;19492;19493;19494;19495;19496;19497;19498;19499;19500;19501;19502;19503;19504;19505;19506;19507;19508;19509;19510;19511;19512;22689;22690;22691;22692;22693;22694;22695;22696;22697;22698;22699;22700;22701;22702;22703;22704;24538;24539;24540;24541;24542;24543;24544;24545;24546;24547;24548;24549;24550;24551;24552;24553;24929;24930;24931;24932;24933;24934;24935;24936;24937;24938;24939;24940;24941;29040;29041;29042;29043;29044;29045;29046;29047;29729;29730;29731;29732;29733;29734;29735;29736;29737;29738;29739;29740;35905;35906;35907;35908;35909;35910;35911;35912;35913;35914;35915;35916;35917;35918;35919;37624;37625;37626;37627;37628;37629;37630;37631;37632;37633;37634;37635;37636;37637;37638;37639;37852;37853;37854;37855;37856;37857;37858;37859;37860;37861;37862;37863;37864;37865;37866;37867	3849;3850;3851;3852;3853;5703;5704;5705;5706;5707;6219;6220;6221;6222;6223;6224;6225;6226;6227;6228;6229;6230;6231;6232;6233;6234;6235;6236;10405;10406;10407;10408;10409;10410;10411;10412;10413;10414;10415;10416;10417;10418;10439;10440;10441;10442;10443;10444;10445;10446;10447;10448;10449;10450;10451;10452;10453;10454;10455;10456;10457;10458;10459;10460;15524;15525;15526;15527;15528;15529;15530;15531;15532;15533;15534;15535;15536;15537;15538;15539;15540;15541;15542;17922;17923;17924;17925;17926;17927;17928;17929;17930;17931;17932;19166;19167;19168;19169;19170;19171;19172;19173;19425;19426;19427;19428;19429;19430;19431;19432;19433;22400;22401;22828;22829;22830;22831;22832;22833;22834;27681;27682;27683;27684;27685;28817;28818;28819;28820;28821;28822;29009;29010;29011;29012;29013;29014;29015	3851;5706;6221;10415;10456;15524;15533;17929;19170;19426;22400;22834;27685;28822;29010		
sp|Q7T3H9|HYI_DANRE	sp|Q7T3H9|HYI_DANRE	3	3	3		1	3	3	3	1	0	1	0	0	1	1	0	2	2	0	1	1	1	1	2	1	0	1	0	0	1	1	0	2	2	0	1	1	1	1	2	1	0	1	0	0	1	1	0	2	2	0	1	1	1	1	2	23.9	23.9	23.9	31.185	276	276	0	4.2617	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	10.5	0	10.5	0	0	7.6	10.5	0	18.1	18.1	0	10.5	7.6	7.6	5.8	16.3	1199700	91493	0	23142	0	0	140580	71377	0	171580	187950	0	63515	67538	121200	63039	198320	0	0	0	0	0	0	0	0	0	176770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3				503	1020;1034;1633	True;True;True	1036;1050;1658	13636;13637;13638;13639;13640;13746;13747;22288;22289;22290;22291;22292;22293;22294	11137;11207;17659	11137;11207;17659		
sp|Q7T3P8|FEM1C_DANRE	sp|Q7T3P8|FEM1C_DANRE	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.1	1.1	1.1	68.478	618	618	0.0083195	2.8321	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	10311000	525670	632620	835140	838380	570550	535790	934140	912270	559820	600190	451930	498710	485930	602160	695050	632320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585490	0	0	2	0	0	1	1	2	0	0	0	0	0	0	0	0	6				504	1957	TRUE	1987	26218;26219;26220;26221;26222;26223;26224;26225;26226;26227;26228;26229;26230;26231;26232;26233	20328;20329;20330;20331;20332;20333	20329	27	319
sp|Q7ZT42|SND1_DANRE	sp|Q7ZT42|SND1_DANRE	6	6	6		1	6	6	6	5	4	1	1	3	4	1	2	5	4	3	3	3	3	2	3	5	4	1	1	3	4	1	2	5	4	3	3	3	3	2	3	5	4	1	1	3	4	1	2	5	4	3	3	3	3	2	3	8.9	8.9	8.9	100.53	897	897	0	24.807	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.4	6	1.4	1.4	4.6	5.9	1.4	3.2	7.6	6.1	4.6	4.6	4.5	4.7	2.8	4.5	11043000	1239800	629030	417270	147730	636560	994440	132090	216700	1428600	1325800	602560	610530	737420	687740	590470	645900	670720	1026600	0	0	960240	887630	0	562610	974540	1003900	660950	658800	0	892830	0	716070	3	3	0	0	0	1	0	0	0	2	2	2	1	1	1	2	18				505	415;447;450;798;2395;2796	True;True;True;True;True;True	425;458;461;813;2430;2838	5513;5514;5515;5516;5517;5518;5519;5820;5821;5822;5823;5824;5825;5826;5842;5843;5844;5845;5846;5847;5848;5849;5850;5851;5852;10624;10625;10626;10627;31575;31576;31577;31578;31579;31580;31581;31582;31583;31584;31585;31586;31587;31588;31589;37029;37030;37031;37032;37033	4228;4426;4427;4428;4458;4459;4460;4461;4462;4463;4464;8792;8793;24221;24222;24223;28338;28339	4228;4426;4460;8793;24221;28339		
